0:0:0:0:0:0:0:1 - - [27/Jan/2022:20:49:43 +0900] "GET /lesson02/quiz03.jsp HTTP/1.1" 200 901
0:0:0:0:0:0:0:1 - - [27/Jan/2022:20:49:45 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Jan/2022:20:49:47 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Jan/2022:21:02:44 +0900] "GET /lesson02/quiz03.jsp HTTP/1.1" 200 1050
0:0:0:0:0:0:0:1 - - [27/Jan/2022:21:02:46 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Jan/2022:21:02:47 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Jan/2022:21:02:47 +0900] "GET /lesson02/quiz03.jsp HTTP/1.1" 200 1050
0:0:0:0:0:0:0:1 - - [27/Jan/2022:21:02:48 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Jan/2022:21:02:49 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Jan/2022:21:02:51 +0900] "GET /lesson02/quiz03.jsp HTTP/1.1" 200 1050
0:0:0:0:0:0:0:1 - - [27/Jan/2022:21:02:51 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Jan/2022:21:02:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Jan/2022:21:03:03 +0900] "GET /lesson02/quiz03_1.jsp?height=170&weight=123 HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [27/Jan/2022:21:03:04 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Jan/2022:21:03:05 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Jan/2022:21:03:07 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Jan/2022:21:04:13 +0900] "GET /lesson02/quiz03_1.jsp?height=170&weight=55 HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [27/Jan/2022:21:04:13 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Jan/2022:21:04:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Jan/2022:21:04:16 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Jan/2022:21:05:12 +0900] "GET /lesson02/quiz03.jsp HTTP/1.1" 200 1050
0:0:0:0:0:0:0:1 - - [27/Jan/2022:21:05:13 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Jan/2022:21:05:14 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Jan/2022:21:05:19 +0900] "GET /lesson02/quiz03_1.jsp?height=170&weight=55 HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [27/Jan/2022:21:05:19 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Jan/2022:21:05:20 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Jan/2022:21:05:24 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Jan/2022:21:05:57 +0900] "GET /lesson02/quiz03.jsp HTTP/1.1" 200 1050
0:0:0:0:0:0:0:1 - - [27/Jan/2022:21:05:58 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Jan/2022:21:05:59 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Jan/2022:21:06:01 +0900] "GET /lesson02/quiz03_1.jsp?height=170&weight=55 HTTP/1.1" 200 409
0:0:0:0:0:0:0:1 - - [27/Jan/2022:21:06:01 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Jan/2022:21:06:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Jan/2022:21:06:26 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Jan/2022:21:06:28 +0900] "GET /lesson02/quiz03.jsp HTTP/1.1" 200 1050
0:0:0:0:0:0:0:1 - - [27/Jan/2022:21:06:28 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Jan/2022:21:06:29 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Jan/2022:21:06:33 +0900] "GET /lesson02/quiz03_1.jsp?height=170&weight=55 HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [27/Jan/2022:21:06:34 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Jan/2022:21:06:36 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Jan/2022:21:06:37 +0900] "GET /favicon.ico HTTP/1.1" 404 818
